neo,pha,full_name,diameter,orbit_id,epoch,e,a,q,i,w,per_y,om,ma,ad,n,moid,H,class,Notes,
Y,Y,162000 (1990 OS),0.4,JPL 99,2460600.5,0.4624,1.678,0.902,1.09,21.59,2.17,346.51,239.67,2.45,0.4532,0.00896,19.64,APO,,
Y,Y,301844 (1990 UA),0.4,JPL 41,2460600.5,0.526,1.642,0.778,0.93,202.58,2.1,104.28,87.51,2.51,0.4682,0.012,19.71,APO,,
Y,Y,308635 (2005 YU55),0.4,JPL 135,2460600.5,0.4305,1.157,0.659,0.34,273.56,1.24,35.93,189.35,1.65,0.7921,0.000429,21.91,APO,,
Y,Y,341843 (2008 EV5),0.4,JPL 156,2460600.5,0.0827,0.9602,0.881,7.45,235.84,0.941,93.23,63.75,1.04,1.048,0.0147,20.05,ATE,,
Y,Y,360191 (1988 TA),0.4,JPL 53,2460600.5,0.4786,1.54,0.803,2.53,105.26,1.91,194.65,329.39,2.28,0.5156,0.0058,21.08,APO,,
Y,Y,496817 (1989 VB),0.4,JPL 73,2460600.5,0.4601,1.862,1.005,2.18,330.92,2.54,37.85,278.4,2.72,0.388,0.0168,19.99,APO,,
Y,N,408751 (1987 SF3),0.399,JPL 25,2460600.5,0.5338,2.253,1.05,3.35,134.61,3.38,186.98,0.15,3.46,0.2915,0.0558,19.02,AMO,,
Y,Y,250680 (2005 QC5),0.398,JPL 40,2460600.5,0.3645,0.893,0.568,9.45,108.72,0.844,48.05,64.8,1.22,1.168,0.0476,19.63,ATE,,
Y,N,475950 (2007 FE1),0.389,JPL 39,2460600.5,0.5489,2.017,0.91,9.85,193.24,2.87,44.73,18.94,3.12,0.344,0.0671,18.85,APO,,
Y,Y,163818 (2003 RX7),0.386,JPL 187,2460600.5,0.3545,1.229,0.794,10.39,245.91,1.36,241.01,68.68,1.67,0.723,0.0264,18.46,APO,,
Y,Y,367248 (2007 MK13),0.386,JPL 55,2460600.5,0.1397,1.025,0.881,19.88,259.97,1.04,95.08,185.35,1.17,0.9505,0.0322,20.21,APO,,
Y,N,464885 (2005 LS3),0.384,JPL 42,2460600.5,0.2677,1.49,1.091,34.9,123.6,1.82,85.21,267.66,1.89,0.542,0.18,19.57,AMO,,
Y,N,482111 (2010 NT1),0.383,JPL 43,2460600.5,0.2182,1.458,1.14,39.52,306.32,1.76,283.25,58.13,1.78,0.5597,0.207,19.43,AMO,,
Y,N,311554 (2006 BQ147),0.382,JPL 115,2460600.5,0.4223,0.8199,0.474,24.38,153.21,0.742,146.77,224.39,1.17,1.328,0.0717,18.72,ATE,,
Y,N,614316 (2008 YZ32),0.382,JPL 41,2460600.5,0.6205,1.038,0.394,16.54,224.47,1.06,105.2,55.55,1.68,0.9324,0.0512,20.25,APO,,
Y,N,368184 (2000 RN77),0.381,JPL 66,2460600.5,0.3181,0.9512,0.649,16.1,211.77,0.928,312.69,188.89,1.25,1.062,0.108,19.47,ATE,,
Y,Y,504800 (2010 CO1),0.38,JPL 33,2460600.5,0.2179,1.013,0.792,24.02,252.71,1.02,351.56,78.84,1.23,0.9671,0.0222,21.48,APO,,
Y,N,706765 (2010 TK7),0.379,JPL 25,2460600.5,0.1903,0.9987,0.809,20.9,46.05,0.998,96.42,271.82,1.19,0.9875,0.0847,20.78,ATE,"Earth's first known Trojan asteroid, sharing Earth's orbit around the Sun",
Y,N,388838 (2008 EZ5),0.378,JPL 170,2460600.5,0.5075,2.091,1.03,8,228.21,3.02,15.07,163.3,3.15,0.3259,0.0808,19.62,AMO,,
Y,Y,206378 (2003 RB),0.376,JPL 183,2460600.5,0.4389,1.788,1.003,6.72,44.07,2.39,317.13,287,2.57,0.4121,0.0449,18.76,APO,,
Y,N,307918 (2004 EU9),0.374,JPL 125,2460600.5,0.5053,0.8804,0.436,28.58,202.43,0.826,161.08,98.26,1.33,1.193,0.168,19.02,ATE,,
Y,Y,363831 (2005 PY16),0.371,JPL 65,2460600.5,0.525,1.976,0.939,6.41,193.53,2.78,159.31,327.45,3.01,0.3549,0.0418,19.35,APO,,
Y,N,242191 (2003 NZ6),0.37,JPL 118,2460600.5,0.4924,0.7934,0.403,18.25,311.62,0.707,124.58,294.05,1.18,1.395,0.0653,19.02,ATE,,
Y,Y,414286 (2008 OC6),0.369,JPL 109,2460600.5,0.1992,0.9231,0.739,21.85,295.86,0.887,177.57,11.73,1.11,1.111,0.03,18.59,ATE,,
Y,N,436324 (2010 GZ6),0.369,JPL 81,2460600.5,0.1441,1.401,1.199,44.84,73.94,1.66,199.43,205.66,1.6,0.5941,0.312,19.44,AMO,,
Y,Y,386454 (2008 XM),0.367,JPL 32,2460600.5,0.9093,1.222,0.111,5.45,27.39,1.35,240.61,301.03,2.33,0.7295,0.00469,20.03,APO,,
Y,Y,387746 (2003 MH4),0.366,JPL 72,2460600.5,0.5133,1.964,0.956,3.9,323.53,2.75,259.55,287.43,2.97,0.358,0.00335,20.1,APO,,
Y,Y,529753 (2010 MF1),0.363,JPL 127,2460600.5,0.5882,2.498,1.029,9.1,27.84,3.95,286.94,212.69,3.97,0.2496,0.0425,19.65,AMO,,
Y,Y,265196 (2004 BW58),0.361,JPL 123,2460600.5,0.3787,1.455,0.904,15.21,301.85,1.75,132.61,328.22,2.01,0.5617,0.0389,18.84,APO,,
Y,N,325102 (2008 EY5),0.361,JPL 46,2460600.5,0.6268,0.6262,0.234,5.11,106.69,0.496,245.43,332.05,1.02,1.989,0.0784,20.17,ATE,,
Y,N,529720 (2010 LM14),0.361,JPL 24,2460600.5,0.3794,1.111,0.689,25.92,187.94,1.17,176.64,32.21,1.53,0.8421,0.313,21.3,APO,,
Y,N,411611 (2011 QF14),0.358,JPL 114,2460600.5,0.4833,2.026,1.047,3.4,297.3,2.88,138.27,156.47,3,0.3418,0.0815,18.75,AMO,,
Y,N,474425 (2002 YF4),0.358,JPL 85,2460600.5,0.3337,1.755,1.169,33.68,93.59,2.32,61.66,107.23,2.34,0.424,0.432,18.84,AMO,,
Y,Y,419624 (2010 SO16),0.357,JPL 80,2460600.5,0.0754,1.004,0.928,14.51,109.24,1.01,40.35,202.51,1.08,0.9799,0.0307,20.44,APO,,
Y,N,499496 (2010 MR87),0.357,JPL 52,2460600.5,0.3906,1.734,1.057,34.99,132.51,2.28,195.27,71.08,2.41,0.4317,0.15,19.49,AMO,,
Y,N,485110 (2010 HZ108),0.356,JPL 41,2460600.5,0.2085,1.249,0.988,22.88,106.65,1.4,173.99,67.66,1.51,0.7064,0.108,20.88,APO,,
Y,N,105141 (2000 NF11),0.352,JPL 106,2460600.5,0.189,1.421,1.152,14.82,115.95,1.69,123.7,162.99,1.69,0.5818,0.214,19.11,AMO,,
Y,N,515049 (2010 FL),0.351,JPL 43,2460600.5,0.6555,1.919,0.661,11.4,214.09,2.66,66.61,144.12,3.18,0.3707,0.14,19.31,APO,,
Y,N,415711 (1998 WT7),0.346,JPL 74,2460600.5,0.11,1.152,1.025,40.7,235.93,1.24,248.26,300.27,1.28,0.7972,0.0854,19.08,AMO,,
Y,Y,523664 (2012 OD1),0.346,JPL 169,2460600.5,0.5029,0.8288,0.412,42.26,224.36,0.754,303.73,191.12,1.25,1.306,0.0376,18.59,ATE,,
Y,Y,234145 (2000 EW70),0.344,JPL 76,2460600.5,0.3213,0.9376,0.636,5.43,125.77,0.908,178.03,294.52,1.24,1.086,0.0108,21.58,ATE,,
Y,N,234341 (2001 FZ57),0.344,JPL 139,2460600.5,0.6042,0.9442,0.374,20.67,339.98,0.917,22.09,96.2,1.51,1.074,0.158,18.94,ATE,,
Y,N,387733 (2003 GS),0.344,JPL 93,2460600.5,0.2185,0.893,0.698,12.03,181.88,0.844,196.2,354.33,1.09,1.168,0.089,18.98,ATE,,
Y,N,495858 (2003 MJ4),0.342,JPL 124,2460600.5,0.5614,2.303,1.01,5.31,271.87,3.5,77.39,12.11,3.6,0.2819,0.092,18.98,APO,,
Y,Y, 99942 Apophis (2004 MN4),0.34,JPL 218,2460600.5,0.1911,0.9224,0.746,3.34,126.67,0.886,203.9,227.76,1.1,1.113,0.000613,19.09,ATE,Close approach in 2029,
Y,N,496837 (1998 SB15),0.337,JPL 54,2460600.5,0.1615,1.226,1.028,15.63,67.68,1.36,6.75,12.22,1.42,0.7256,0.112,20.83,AMO,,
Y,Y,162567 (2000 RW37),0.335,JPL 64,2460600.5,0.2501,1.247,0.935,13.75,133.29,1.39,333.29,12.21,1.56,0.7075,0.00905,19.97,APO,,
Y,Y,  4660 Nereus (1982 DB),0.33,JPL 277,2460600.5,0.3587,1.485,0.952,1.45,159.54,1.81,313.11,191.96,2.02,0.5446,0.00367,18.75,APO,,
Y,Y, 25143 Itokawa (1998 SF36),0.33,JPL 219,2460600.5,0.2803,1.324,0.953,1.62,162.82,1.52,69.08,142.57,1.7,0.6469,0.0129,19.26,APO,Visited by Japan's Hayabusa mission which returned samples to Earth,
Y,N,238456 (2004 RK),0.328,JPL 119,2460600.5,0.3004,1.389,0.972,18.15,264.43,1.64,178.76,36.87,1.81,0.6023,0.165,19.43,APO,,
Y,N,477762 (2010 XZ67),0.326,JPL 108,2460600.5,0.4942,2.06,1.042,11.85,169.15,2.96,280.19,236.8,3.08,0.3333,0.0635,19.74,AMO,,
Y,N,613939 (2008 CH116),0.322,JPL 41,2460600.5,0.5875,0.6628,0.273,20.37,248.18,0.54,85.9,196.09,1.05,1.827,0.224,19.25,ATE,,
Y,Y,477519 (2010 DJ56),0.321,JPL 77,2460600.5,0.2453,1.25,0.943,34.84,309.28,1.4,149.91,231.65,1.56,0.7053,0.0288,19.15,APO,,
Y,N,139056 (2001 FY),0.32,JPL 77,2460600.5,0.3281,1.886,1.267,4.73,110.68,2.59,111.15,19.4,2.5,0.3806,0.274,19.18,AMO,,
Y,Y,297300 (1998 SC15),0.32,JPL 126,2460600.5,0.4144,1.273,0.745,16.08,277.49,1.44,198.68,337.6,1.8,0.6863,0.000468,19.29,APO,,
Y,N,169352 (2001 UY16),0.316,JPL 72,2460600.5,0.5196,2.083,1.001,32.28,48.41,3.01,32.2,215.33,3.17,0.3278,0.121,19.36,APO,,
Y,N,388189 (2006 DS14),0.315,JPL 59,2460600.5,0.3365,0.8638,0.573,26.54,187.5,0.803,162.24,240.74,1.15,1.228,0.158,20.55,ATE,,
Y,Y,511684 (2015 BN509),0.315,JPL 134,2460600.5,0.5685,1.007,0.434,4.15,143.2,1.01,120.08,166.2,1.58,0.9756,0.0248,20.79,APO,,
Y,N,537829 (2015 XY378),0.312,JPL 24,2460600.5,0.4893,0.7102,0.363,13.92,265.66,0.598,1.21,120.68,1.06,1.647,0.197,19.51,ATE,,
Y,Y,434633 (2005 WB1),0.31,JPL 37,2460600.5,0.3554,1.264,0.815,22.88,265.73,1.42,61.41,164.11,1.71,0.6937,0.0478,20.67,APO,,
Y,N,532874 (2013 YZ13),0.31,JPL 53,2460600.5,0.2618,1.39,1.026,31.22,235.54,1.64,288.39,171.05,1.75,0.6011,0.136,19.62,AMO,,
Y,N,523632 (2009 UX17),0.309,JPL 65,2460600.5,0.0835,1.189,1.09,10.8,278.65,1.3,216.09,106.96,1.29,0.7599,0.152,21.51,AMO,,
Y,N,456537 (2007 BG),0.308,JPL 59,2460600.5,0.3305,0.7868,0.527,12.75,133.38,0.698,168.28,317.57,1.05,1.412,0.0508,19.63,ATE,,
Y,Y,468727 (2010 JE87),0.308,JPL 52,2460600.5,0.437,0.9042,0.509,16.91,242.31,0.86,120.47,194.33,1.3,1.146,0.0347,20.77,ATE,,
Y,N,458135 (2010 GE25),0.304,JPL 44,2460600.5,0.4677,2.067,1.1,21.61,235.56,2.97,324.31,313.3,3.03,0.3317,0.225,20.28,AMO,,
Y,N,141531 (2002 GB),0.303,JPL 187,2460600.5,0.529,0.9921,0.467,22.55,8.32,0.988,40.81,1.94,1.52,0.9974,0.281,19.15,ATE,,
Y,N,228502 (2001 TE2),0.302,JPL 76,2460600.5,0.1966,1.083,0.87,7.63,35.79,1.13,171.11,321.06,1.3,0.874,0.0649,20.41,APO,,
Y,Y,  2340 Hathor (1976 UA),0.3,JPL 62,2460600.5,0.45,0.8438,0.464,5.86,40.1,0.775,211.29,53.4,1.22,1.272,0.00669,20.43,ATE,,
Y,Y,  3361 Orpheus (1982 HR),0.3,JPL 185,2460600.5,0.3229,1.21,0.82,2.66,302.34,1.33,188.68,24.54,1.6,0.7401,0.0138,19.56,APO,A small asteroid that has made close approaches to Earth,
Y,Y,496816 (1989 UP),0.3,JPL 77,2460600.5,0.4722,1.862,0.982,3.85,17.82,2.54,53.16,256.52,2.74,0.388,0.00594,20.54,APO,,
Y,N,523826 (1990 UP),0.3,JPL 53,2460600.5,0.1707,1.33,1.103,28.22,294.25,1.53,33.18,105.22,1.56,0.6426,0.2,20.35,AMO,,
Y,Y,152671 (1998 HL3),0.298,JPL 126,2460600.5,0.3659,1.129,0.716,2.68,188.16,1.2,163.64,286.27,1.54,0.8216,0.0453,20.24,APO,,
Y,N,469513 (2003 QR79),0.297,JPL 57,2460600.5,0.3055,1.279,0.888,17.16,103.19,1.45,333.02,160.17,1.67,0.6817,0.071,20.87,APO,,
Y,N,436030 (2009 JO2),0.295,JPL 80,2460600.5,0.4783,0.8883,0.463,19.63,239.71,0.837,203.42,216.35,1.31,1.177,0.0547,19.44,ATE,,
Y,Y,390725 (2003 HB),0.293,JPL 72,2460600.5,0.3805,0.8497,0.526,18.11,306.76,0.783,70.36,347.31,1.17,1.258,0.045,19.7,ATE,,
Y,Y,252399 (2001 TX44),0.291,JPL 77,2460600.5,0.5459,0.8748,0.397,15.21,136.04,0.818,57.76,262.54,1.35,1.205,0.00926,19.41,ATE,,
Y,Y,443806 (1998 FL3),0.288,JPL 25,2460600.5,0.2478,1.26,0.948,26.39,121.34,1.41,180.1,192.54,1.57,0.6969,0.0402,21.72,APO,,
Y,N,152564 (1992 HF),0.282,JPL 41,2460600.5,0.5617,1.391,0.61,13.32,128.34,1.64,213.37,228.17,2.17,0.6009,0.121,19.63,APO,,
Y,N,307070 (2002 AV31),0.282,JPL 129,2460600.5,0.2492,1.309,0.983,14.98,267.48,1.5,119.26,126.87,1.64,0.6579,0.143,20.64,APO,,
Y,N,407324 (2010 OB101),0.281,JPL 41,2460600.5,0.5227,1.617,0.772,9.13,334.47,2.06,260.89,4.01,2.46,0.4795,0.112,20.58,APO,,
Y,N,530531 (2011 OL5),0.28,JPL 97,2460600.5,0.1586,1.222,1.028,15.73,64.99,1.35,105.67,46.79,1.42,0.7299,0.119,20.24,AMO,,
Y,N,614521 (2009 UK),0.28,JPL 64,2460600.5,0.4829,1.978,1.023,3.53,309.45,2.78,165.5,102.13,2.93,0.3544,0.0598,19.91,AMO,,
Y,Y,523775 (2014 YB35),0.279,JPL 82,2460600.5,0.4833,1.877,0.97,12.64,188.64,2.57,3.72,256.67,2.78,0.3833,0.0208,19.11,APO,,
Y,N,152563 (1992 BF),0.272,JPL 110,2460600.5,0.2716,0.9079,0.661,7.25,336.55,0.865,315.19,146.53,1.15,1.139,0.0634,19.71,ATE,,
Y,N,247517 (2002 QY6),0.269,JPL 108,2460600.5,0.699,0.8171,0.246,12.75,355.4,0.739,164.18,167.83,1.39,1.334,0.106,19.73,ATE,,
Y,Y,459683 (2013 MY5),0.269,JPL 58,2460600.5,0.4532,1.662,0.909,3,279.04,2.14,102.88,61.87,2.41,0.4601,0.0322,19.79,APO,,
Y,Y,503941 (2003 UV11),0.26,JPL 85,2460600.5,0.7626,1.453,0.345,5.93,124.95,1.75,31.78,324.1,2.56,0.5625,0.00787,19.65,APO,,
Y,Y,613726 (2007 EF),0.26,JPL 32,2460600.5,0.4101,0.8203,0.484,21.73,226.04,0.743,158.34,348.52,1.16,1.327,0.0241,21.34,ATE,,
Y,Y,433953 (1997 XR2),0.259,JPL 80,2460600.5,0.2008,1.076,0.86,7.19,84.65,1.12,250.66,91.54,1.29,0.8828,0.000622,20.96,APO,,
Y,N,529819 (2010 PM58),0.259,JPL 19,2460600.5,0.4597,1.371,0.741,13.59,53.83,1.61,332.36,268.23,2,0.6137,0.0965,20.86,APO,,
Y,Y,357024 (1999 YR14),0.255,JPL 109,2460600.5,0.4,1.651,0.991,3.73,9.7,2.12,2.98,285.74,2.31,0.4644,0.0065,19.47,APO,,
Y,N,443837 (2000 TJ1),0.253,JPL 85,2460600.5,0.0809,1.161,1.067,39.54,52.51,1.25,190.42,202.77,1.25,0.7884,0.101,19.7,AMO,,
Y,N,471083 (2009 XF2),0.244,JPL 49,2460600.5,0.2469,1.286,0.968,14.01,113.46,1.46,88.46,329.41,1.6,0.6762,0.0653,19.98,APO,,
Y,Y,141432 (2002 CQ11),0.239,JPL 104,2460600.5,0.4275,0.9762,0.559,2.47,272.65,0.965,81.34,241.7,1.39,1.022,0.0194,20.06,ATE,,
Y,N,424392 (2007 YJ),0.239,JPL 53,2460600.5,0.2798,1.103,0.795,3.31,199.39,1.16,28.87,59.24,1.41,0.8505,0.051,22.12,APO,,
Y,Y,490581 (2009 WZ104),0.237,JPL 61,2460600.5,0.1927,0.8553,0.69,9.84,10.56,0.791,263.25,71.51,1.02,1.246,0.0306,20.85,ATE,,
Y,Y,371660 (2007 CN26),0.23,JPL 73,2460600.5,0.2693,1.292,0.944,7.59,135.69,1.47,159.27,231.68,1.64,0.6708,0.00234,21.11,APO,,
Y,Y,441987 (2010 NY65),0.228,JPL 184,2460600.5,0.3701,1.003,0.632,11.54,252.07,1.01,267.92,175.65,1.37,0.9805,0.0171,21.36,APO,,
Y,Y,443880 (2001 UZ16),0.228,JPL 91,2460600.5,0.4263,1.76,1.01,12.67,28.63,2.34,323.1,320.12,2.51,0.422,0.0308,19.38,APO,,
Y,Y,462238 (2008 CN1),0.227,JPL 62,2460600.5,0.3477,0.7707,0.503,7.22,7.26,0.677,331.46,26.27,1.04,1.457,0.0349,20.66,ATE,,
Y,Y,230549 (2003 BH),0.217,JPL 49,2460600.5,0.3561,1.457,0.938,13.11,313.41,1.76,119.76,158.58,1.98,0.5607,0.0292,20.78,APO,,
Y,N,481327 (2006 BB27),0.216,JPL 51,2460600.5,0.2456,1.362,1.028,27.16,144.68,1.59,132.16,166.83,1.7,0.62,0.0506,19.95,AMO,,
Y,N,365449 (2010 NJ1),0.215,JPL 63,2460600.5,0.5406,0.9684,0.445,11.22,358.58,0.953,128.23,75.23,1.49,1.034,0.155,20.28,ATE,,
Y,Y,365424 (2010 KX7),0.212,JPL 29,2460600.5,0.1709,0.9893,0.82,21.49,61.93,0.984,46.46,331.91,1.16,1.002,0.0343,21.91,ATE,,
Y,N,488803 (2005 GB120),0.209,JPL 61,2460600.5,0.3948,0.7911,0.479,9.15,243.83,0.704,160.86,23.17,1.1,1.401,0.0729,20.48,ATE,,
Y,Y, 41429 (2000 GE2),0.204,JPL 86,2460600.5,0.5553,1.593,0.708,2.17,297.2,2.01,351.91,42.91,2.48,0.4903,0.0109,20.66,APO,,
Y,Y,333578 (2006 KM103),0.204,JPL 94,2460600.5,0.3766,1.573,0.981,11.68,197.03,1.97,169.45,35.66,2.17,0.4994,0.0128,20.2,APO,,
Y,Y,423321 (2005 ED318),0.202,JPL 72,2460600.5,0.4501,1.85,1.018,2.39,164.35,2.52,82.04,255.47,2.68,0.3916,0.00938,20.9,AMO,,
Y,Y,483508 (2003 CR1),0.202,JPL 68,2460600.5,0.4628,1.453,0.78,12.72,101.97,1.75,310.93,179.82,2.12,0.563,0.0276,20.02,APO,,
Y,Y,510055 (2010 FH81),0.2,JPL 35,2460600.5,0.2105,1.226,0.968,16.8,158.31,1.36,84.6,223.8,1.48,0.7264,0.034,21.51,APO,,
Y,Y,468468 (2004 KH17),0.197,JPL 58,2460600.5,0.4982,0.7121,0.357,22.13,340.72,0.601,79.12,176.08,1.07,1.64,0.00231,21.98,ATE,,
Y,N,511777 (2015 EZ),0.194,JPL 139,2460600.5,0.2838,1.364,0.977,13.21,65.21,1.59,185.4,316.62,1.75,0.6187,0.0866,20.14,APO,,
Y,N,422638 (1994 CB),0.193,JPL 30,2460600.5,0.1451,1.149,0.983,18.26,288.54,1.23,310.62,242.28,1.32,0.7998,0.0562,21.1,APO,,
Y,N,613995 (2008 NP3),0.193,JPL 23,2460600.5,0.334,1.005,0.669,1.43,328.2,1.01,78.33,332.93,1.34,0.9783,0.0153,22.83,APO,,
Y,Y,303450 (2005 BY2),0.187,JPL 55,2460600.5,0.3306,1.269,0.85,7.29,130.28,1.43,74.44,240.46,1.69,0.6893,0.0404,20.55,APO,,
Y,Y,422686 (2000 AC6),0.176,JPL 70,2460600.5,0.2864,0.8537,0.609,4.7,188.07,0.789,101.36,335.02,1.1,1.25,0.0462,21.63,ATE,,
Y,N,496962 (2002 GP186),0.175,JPL 36,2460600.5,0.3312,1.285,0.859,8.11,24.84,1.46,31.17,284.09,1.71,0.6768,0.0812,20.32,APO,,
Y,Y,454094 (2013 BZ45),0.167,JPL 49,2460600.5,0.1448,1.015,0.868,11.85,98.76,1.02,131.05,96.2,1.16,0.9638,0.0257,21.87,APO,,
Y,N,475016 (2005 UO),0.164,JPL 29,2460600.5,0.5824,1.351,0.564,7.71,258.56,1.57,19.15,74.85,2.14,0.6278,0.00222,22.06,APO,,
Y,Y,164207 (2004 GU9),0.163,JPL 98,2460600.5,0.1359,1.001,0.865,13.65,279.48,1,38.41,63.63,1.14,0.9837,0.00017,21.18,APO,,
Y,N,618348 (2016 PN),0.16,JPL 51,2460600.5,0.3322,0.8586,0.573,21.6,23.68,0.796,126.04,247.3,1.14,1.239,0.0711,20.23,ATE,,
Y,N,411165 (2010 DF1),0.159,JPL 33,2460600.5,0.5032,1.598,0.794,20.08,101.81,2.02,154.84,45.87,2.4,0.4877,0.0433,22.09,APO,,
Y,Y,363599 (2004 FG11),0.152,JPL 110,2460600.5,0.7236,1.587,0.439,3.14,228.81,2,83.45,69.5,2.73,0.4932,0.0204,21.04,APO,,
Y,Y,465826 (2010 GA24),0.15,JPL 43,2460600.5,0.5468,2.097,0.95,7.68,237.57,3.04,30.66,261.43,3.24,0.3247,0.0494,21.09,APO,,
Y,N,469445 (2002 LT24),0.143,JPL 66,2460600.5,0.4958,0.7201,0.363,0.77,283.09,0.611,165.66,17.11,1.08,1.613,0.0113,22.19,ATE,,
Y,N,666241 (2010 BK2),0.118,JPL 28,2460600.5,0.4479,0.9042,0.499,6.05,72.66,0.86,278.01,133.58,1.31,1.146,0.0326,22.04,ATE,,
Y,Y,264357 (2000 AZ93),0.113,JPL 48,2460600.5,0.36,0.7469,0.478,8.59,8.17,0.645,277.3,311.13,1.02,1.527,0.022,21.17,ATE,,
Y,N,506590 (2005 XB1),0.099,JPL 32,2460600.5,0.4187,1.131,0.658,8.71,232.93,1.2,73.31,323.99,1.61,0.8189,0.0705,21.97,APO,,
Y,N,450237 (2002 XY38),0.096,JPL 45,2460600.5,0.2176,0.9112,0.713,2.12,119.92,0.87,158.7,200.77,1.11,1.133,0.00245,23.18,ATE,,
Y,Y,154590 (2003 MA3),0.086,JPL 41,2460600.5,0.4022,1.105,0.661,1.42,228.88,1.16,152.67,56.99,1.55,0.8484,0.0131,21.71,APO,,
Y,Y,518810 (2010 CF19),0.083,JPL 46,2460600.5,0.27,1.193,0.871,7.18,265.31,1.3,154.71,142.87,1.52,0.7563,0.0325,21.85,APO,,
